OTU_ID,taxonomy
OTU_591,k__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__Unassigned.S085; g__Unassigned.S085; s__Unassigned.S085
OTU_337,k__Bacteria; p__Armatimonadetes; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae; g__Unassigned.Fimbriimonadaceae; s__Unassigned.Fimbriimonadaceae
OTU_466,k__Bacteria; p__Armatimonadetes; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae; g__Unassigned.Fimbriimonadaceae; s__Unassigned.Fimbriimonadaceae
OTU_545,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminiclostridium 1; s__Unassigned.Ruminiclostridium 1
OTU_15,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Clostridium sensu stricto 1; s__Unassigned.Clostridium sensu stricto 1
OTU_37,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Clostridium sensu stricto 1; s__Unassigned.Clostridium sensu stricto 1
OTU_62,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Unassigned.Clostridiaceae 1; s__Unassigned.Clostridiaceae 1
OTU_142,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Clostridium sensu stricto 13; s__Unassigned.Clostridium sensu stricto 13
OTU_170,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Unassigned.Clostridiaceae 1; s__Unassigned.Clostridiaceae 1
OTU_1022,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Clostridium sensu stricto 10; s__Unassigned.Clostridium sensu stricto 10
OTU_291,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Clostridium sensu stricto 12; s__Unassigned.Clostridium sensu stricto 12
OTU_984,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Unassigned.Clostridiaceae 1; s__Unassigned.Clostridiaceae 1
OTU_261,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium 10; s__Unassigned.Lachnoclostridium 10
OTU_802,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Cetobacterium; s__Unassigned.Cetobacterium
OTU_33,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Romboutsia; s__Unassigned.Romboutsia
OTU_16,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Romboutsia; s__Unassigned.Romboutsia
OTU_902,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Romboutsia; s__Unassigned.Romboutsia
OTU_143,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Acetoanaerobium; s__Unassigned.Acetoanaerobium
OTU_554,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Family XIII; g__Anaerovorax; s__Unassigned.Anaerovorax
OTU_894,k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Sporomusa; s__Unassigned.Sporomusa
OTU_169,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_93,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_305,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_405,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_101,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_105,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unassigned.Bacillus
OTU_534,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Family XII; g__Exiguobacterium; s__Unassigned.Exiguobacterium
OTU_1130,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Abiotrophia; s__Unassigned.Abiotrophia
OTU_850,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Unassigned.Enterococcus
OTU_166,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Unassigned.Enterococcus
OTU_200,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Unassigned.Streptococcus
OTU_517,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Unassigned.Streptococcus
OTU_232,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Unassigned.Streptococcus
OTU_182,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Desemzia; s__Unassigned.Desemzia
OTU_751,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Unassigned.Lactobacillus
OTU_79,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Unassigned.Lactobacillus
OTU_862,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Unassigned.Lactobacillus
OTU_221,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Unassigned.Lactobacillus
OTU_763,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Unassigned.Lactobacillus
OTU_969,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Unassigned.Lactobacillus
OTU_570,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Unassigned.Lactobacillus
OTU_255,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Unassigned.Lactobacillus
OTU_366,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Unassigned.Lactobacillus
OTU_198,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Lysinibacillus; s__Lysinibacillus sphaericus
OTU_12,k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Turicibacter; s__Unassigned.Turicibacter
OTU_335,k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Turicibacter; s__Unassigned.Turicibacter
OTU_1020,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_903,k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Turicibacter; s__Unassigned.Turicibacter
OTU_259,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Family XI; g__Gemella; s__Unassigned.Gemella
OTU_390,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Fictibacillus; s__Unassigned.Fictibacillus
OTU_373,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__Unassigned.Cohnella
OTU_502,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_164,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_1055,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_25,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_1092,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_92,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_419,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__Unassigned.Paenibacillus
OTU_998,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae; g__Geothermomicrobium; s__Unassigned.Geothermomicrobium
OTU_961,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Unassigned.Mitochondria; s__Unassigned.Mitochondria
OTU_560,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Unassigned.Mitochondria; s__Unassigned.Mitochondria
OTU_778,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Unassigned.Mitochondria; s__Unassigned.Mitochondria
OTU_934,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Unassigned.Mitochondria; s__Unassigned.Mitochondria
OTU_425,k__Bacteria; p__Unassigned.Bacteria; c__Unassigned.Bacteria; o__Unassigned.Bacteria; f__Unassigned.Bacteria; g__Unassigned.Bacteria; s__Unassigned.0
OTU_796,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Unassigned.Mitochondria; s__Unassigned.Mitochondria
OTU_840,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Triticum aestivum (bread wheat); s__Unassigned.Triticum aestivum (bread wheat)
OTU_5,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Unassigned.Mitochondria; s__Unassigned.Mitochondria
OTU_943,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Triticum aestivum (bread wheat); s__Unassigned.Triticum aestivum (bread wheat)
OTU_629,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Unassigned.Mitochondria; s__Unassigned.Mitochondria
OTU_188,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Ardenticatenales; f__Ardenticatenaceae; g__Unassigned.Ardenticatenaceae; s__Unassigned.Ardenticatenaceae
OTU_271,k__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Unassigned.Gracilibacteria; f__Unassigned.Gracilibacteria; g__Unassigned.Gracilibacteria; s__Unassigned.Gracilibacteria
OTU_167,k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Brevinematales; f__Brevinemataceae; g__Brevinema; s__Unassigned.Brevinema
